date,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-01-16,0 ,83181.0,43503.0,37755.0,32857.0,18957.0,12489.0,40376.0,60870.0,9272.0,11953.0,17771.0,33161.0,38188.0,51461.0,21728.0,28805.0,32465.0,35707.0,13278.0,18534.0,35966.0,42641.0,31973.0,22286.0,81581.0,65673.0,462491.0,459940.0,8:04 AM,Train unloaded passengers due to technical problem.,South Bound,GMA Kamuning,CAT 3
2017-01-17,0 ,81130.0,45685.0,38266.0,34419.0,18391.0,13180.0,44550.0,61798.0,9374.0,12265.0,18038.0,34263.0,39236.0,52852.0,23480.0,30246.0,33745.0,35990.0,15207.0,18725.0,39883.0,43397.0,33165.0,22211.0,80465.0,68096.0,474930.0,473127.0,5:15 AM,Train unloaded passengers due to technical problem.,South Bound,Boni Avenue,CAT 3
2017-01-18,0 ,80769.0,45968.0,38116.0,34858.0,18094.0,12987.0,43329.0,63210.0,9175.0,12234.0,18696.0,34490.0,39819.0,52546.0,24012.0,30324.0,34004.0,35959.0,15233.0,18579.0,40466.0,43145.0,34393.0,21882.0,81393.0,69186.0,477499.0,475368.0,6:08 AM,Train removed from the mainline due to technical problem.,South Bound,North Avenue,CAT 3
2017-01-19,0 ,80294.0,46324.0,37876.0,34126.0,18320.0,13146.0,44096.0,61942.0,8885.0,11683.0,18091.0,34715.0,39129.0,52846.0,23457.0,29718.0,33638.0,35654.0,14981.0,18627.0,40074.0,43127.0,33874.0,21890.0,79768.0,66797.0,472483.0,470595.0,,,,,
2017-01-20,0 ,83811.0,49822.0,39816.0,35599.0,18778.0,13894.0,46942.0,69493.0,9281.0,12167.0,19356.0,36795.0,41295.0,56312.0,24889.0,30555.0,36147.0,36798.0,16218.0,19264.0,43207.0,46158.0,39187.0,22576.0,84939.0,71411.0,503866.0,500844.0,9:34 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3
2017-01-21,0 ,57655.0,39694.0,25279.0,23517.0,11645.0,9441.0,39422.0,55426.0,5116.0,7085.0,10046.0,21032.0,30392.0,38653.0,16858.0,17756.0,29942.0,27501.0,8294.0,8353.0,27919.0,28583.0,23329.0,12617.0,61346.0,55623.0,347243.0,345281.0,9:02 PM,Train unloaded passengers due to technical problem.,North Bound,Shaw Boulevard,CAT 3
2017-01-22,11 ,39181.0,23677.0,14457.0,12060.0,7183.0,4686.0,27397.0,31958.0,2708.0,4067.0,5208.0,11839.0,18456.0,23785.0,9660.0,11376.0,18762.0,19587.0,2660.0,4097.0,15376.0,18820.0,10025.0,6973.0,40759.0,37678.0,211832.0,210603.0,,,,,
2017-01-23,6 ,82013.0,43384.0,36604.0,32170.0,19294.0,13047.0,42455.0,58297.0,8629.0,11857.0,17650.0,33905.0,37680.0,52050.0,21157.0,28429.0,32030.0,35751.0,13788.0,18421.0,36028.0,42189.0,31551.0,22243.0,80718.0,65094.0,459597.0,456837.0,8:41 AM,Train unloaded passenger due to technical problem.,South Bound,Ortigas,CAT 3
2017-01-24,1 ,79427.0,45445.0,37509.0,34510.0,18321.0,12901.0,43110.0,61753.0,9095.0,11875.0,18619.0,34971.0,38708.0,52156.0,23466.0,30018.0,33529.0,35527.0,15445.0,19106.0,40195.0,43594.0,34462.0,22038.0,80054.0,66107.0,471940.0,470001.0,8:36 AM,Normal operation resumed at 8:36 AM.,South Bound,Santolan Anapolis - Ortigas,CAT 1
2017-01-25,0 ,80222.0,46523.0,37318.0,35006.0,18106.0,13268.0,43573.0,63011.0,9270.0,11734.0,19051.0,34909.0,39914.0,52550.0,23821.0,30162.0,34357.0,36375.0,15455.0,18663.0,40535.0,43620.0,35066.0,22052.0,82548.0,69350.0,479236.0,477223.0,8:23 AM,Service interruption due to technical problem at 8:23AM at Santolan to Ortigas SB.,South Bound,Santolan Anapolis - Ortigas,CAT 4
