date,holiday,holiday_reason,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-01-23,,,6,82013,43384,36604,32170,19294,13047,42455,58297,8629,11857,17650,33905,37680,52050,21157,28429,32030,35751,13788,18421,36028,42189,31551,22243,80718,65094,459597,456837,8:41 AM,Train unloaded passenger due to technical problem.,South Bound,Ortigas,CAT 3
2017-01-24,,,1,79427,45445,37509,34510,18321,12901,43110,61753,9095,11875,18619,34971,38708,52156,23466,30018,33529,35527,15445,19106,40195,43594,34462,22038,80054,66107,471940,470001,8:36 AM,Normal operation resumed at 8:36 AM.,South Bound,Santolan Anapolis - Ortigas,CAT 1
2017-01-25,,,0,80222,46523,37318,35006,18106,13268,43573,63011,9270,11734,19051,34909,39914,52550,23821,30162,34357,36375,15455,18663,40535,43620,35066,22052,82548,69350,479236,477223,8:23 AM,Service interruption due to technical problem at 8:23AM at Santolan to Ortigas SB.,South Bound,Santolan Anapolis - Ortigas,CAT 4
2017-01-26,,,0,78729,45453,37762,34707,17965,13056,43209,62092,9247,11904,18311,34689,39427,52329,23661,29786,33867,35990,15437,18776,40582,43904,34398,21332,81003,67646,473598,471664,7:03 PM,Train unloaded passengers due to technical problem.,North Bound,Buendia,CAT 2
2017-01-27,,,0,83495,47838,39008,34979,19059,13487,45863,68186,9539,12148,19560,36408,40709,55365,24232,29074,35710,35679,14943,19487,40388,45821,36860,22200,86469,72756,495835,493428,6:46 PM,Train stopped due to technical problem.,North Bound,Ayala Avenue - Buendia,CAT 2
2017-01-28,1,Chinese New Year,1,48973,33678,20876,18963,9424,7438,34242,47336,3994,5670,8281,17932,26007,32918,14114,14362,25867,22786,5581,6311,23740,24963,18054,9514,54710,50357,293863,292228,,,,,
2017-01-29,,,0,39799,23860,14571,12269,7405,4821,27125,31405,2601,3885,5325,11934,18526,24439,9630,11393,18637,19368,2618,4036,15433,19149,10259,7511,41652,38630,213581,212700,,,,,
2017-01-30,,,0,83087,41812,36628,32492,18483,12006,41274,57490,8233,11296,16709,33262,36053,50955,20959,28877,31660,35562,13672,18594,35889,43105,30887,21840,78503,63438,452037,450729,8:29 PM,"Train experienced technical problem, passengers will be unloaded at Ayala Station NB.",North Bound,Magallanes - Ayala Avenue,CAT 3
2017-01-31,,,1,81730,46491,38170,35211,18165,13423,43047,62783,9209,12054,18449,34729,39889,53313,24030,30473,34212,36221,15564,19469,40902,44298,35306,22182,81515,67908,480188,478555,10:14 PM,Train unloaded passengers due to technical problem.,South Bound,Magallanes,CAT 3
2017-02-01,,,14,80153,46969,37841,35273,18024,13175,43712,63754,8972,11677,18203,34411,40517,53563,24650,31151,34612,36534,15960,18991,41497,43930,36166,22164,85120,72141,485427,483733,4:05 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3
