date,Entry,Exit
201701,401382.967741936,399587.483870968
201702,419371.75,417971.357142857
201703,417993.612903226,416879.774193548
201704,382434.647222222,381245.222222222
201705,388789,387394.290322581
201706,371737.033333333,370512.233333333
201707,387500.064516129,386544.064516129
201708,397184.322580645,396190.322580645
201709,397266.633333333,396212.6
201710,396050.903225806,395011
201711,350407.9,349388.866666667
201712,344622.935483871,343468.258064516
